Class,Armor,Cost,Armor Class (AC),Strength,Stealth,Weight
Light,Padded,5 gp,11 + Dex modifier,—,Disadvantage,8 lb.
Light,Leather,10 gp,11 + Dex modifier,—,—,10 lb.
Light,Studded Leather,45 gp,12 + Dex modifier,—,—,13 lb.
Medium,Hide,10 gp,12 + Dex modifier (max 2),—,—,12 lb.
Medium,Chain shirt,50 gp,13 + Dex modifier (max 2),—,—,20 lb.
Medium,Scale mail,50 gp,14 + Dex modifier (max 2),—,Disadvantage,45 lb.
Medium,Breastplate,400 gp,14 + Dex modifier (max 2),—,—,20 lb.
Medium,Half plate,750 gp,15 + Dex modifier (max 2),—,Disadvantage,40 lb.
Heavy,Ring mail,30 gp,14,—,Disadvantage,40 lb.
Heavy,Chain mail,75 gp,16,Str 13,Disadvantage,55 lb.
Heavy,Splint,200 gp,17,Str 15,Disadvantage,60 lb.
Heavy,Plate,1500 gp,18,Str 15,Disadvantage,65 lb.
Shield,Shield,10 gp,+2,—,—,6 lb.
